Annee;Mois;Date;Client;Article;Quantite;Chiffre_Affaire;Fichier
2025;FEVRIER;01/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR 5L CT 3;200.0;3900000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;01/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR 1L CT 15;200.0;3900000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;01/02/25;CLIENTS DIVERS AGENCE;SAVON CEL'OR 350G CT 60;100.0;1700000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;01/02/25;BOULEVARD;HUILE CEL'OR BIDON 20L;8.0;208000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;01/02/25;BOULEVARD;HUILE CEL'OR 5L CT 3;2.0;14000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;01/02/25;BOULEVARD;HUILE CEL'OR 1L CT 15;7.0;140000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;01/02/25;BOULEVARD;SAVON CEL'OR 350G CT 60;8.0;144000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;03/02/25;GROSSISTE NGALLE;HUILE CEL'OR BIDON 20L;1500.0;36750000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;03/02/25;BOULEVARD;HUILE CEL'OR BIDON 20L;9.0;234000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;03/02/25;BOULEVARD;HUILE CEL'OR 5L CT 3;1.0;7000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;03/02/25;BOULEVARD;HUILE CEL'OR 1L CT 15;6.0;120000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;03/02/25;BOULEVARD;SAVON CEL'OR 350G CT 60;2.0;36000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;03/02/25;BOULEVARD;SAVON CEL'OR 180G CT 80;10.0;130000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;04/02/25;BOULEVARD;HUILE CEL'OR BIDON 20L;6.0;156000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;04/02/25;BOULEVARD;HUILE CEL'OR 5L CT 3;6.0;120000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;04/02/25;BOULEVARD;HUILE CEL'OR 1L CT 15;26.0;520000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;04/02/25;BOULEVARD;SAVON CEL'OR 350G CT 60;11.0;198000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;05/02/25;DGSN;HUILE CEL'OR BIDON 20L;1.0;26000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;05/02/25;DGSN;HUILE CEL'OR 5L CT 3;5.0;100000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;05/02/25;DGSN;HUILE CEL'OR 1L CT 15;30.0;600000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;05/02/25;DGSN;SAVON CEL'OR 350G CT 60;10.0;180000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;05/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR BIDON 20L;21.0;546000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;GROSSISTE FELICIEN;HUILE CEL'OR BIDON 20L;1500.0;36750000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;SERVICES DU GOUVERNEUR;HUILE CEL'OR BIDON 20L;5.0;130000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;SERVICES DU GOUVERNEUR;HUILE CEL'OR 5L CT 3;2.0;40000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;SERVICES DU GOUVERNEUR;HUILE CEL'OR 1L CT 15;22.0;440000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;SERVICES DU GOUVERNEUR;SAVON CEL'OR 350G CT 60;5.0;90000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;SERVICES DU GOUVERNEUR;SAVON CEL'OR 180G CT 80;2.0;26000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR BIDON 20L;20.0;520000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR 1L CT 15;50.0;1000000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;06/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR 1L CT 15;50.0;1000000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;SERVICES DU GOUVERNEUR;HUILE CEL'OR BIDON 20L;10.0;260000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;SERVICES DU GOUVERNEUR;HUILE CEL'OR 5L CT 3;3.0;60000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;SERVICES DU GOUVERNEUR;HUILE CEL'OR 1L CT 15;8.0;160000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;SERVICES DU GOUVERNEUR;SAVON CEL'OR 350G CT 60;4.0;72000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR BIDON 20L;100.0;2500000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR BIDON 20L;100.0;2500000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR 1L CT 15;20.0;390000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
2025;FEVRIER;07/02/25;CLIENTS DIVERS AGENCE;HUILE CEL'OR BIDON 20L;200.0;5200000.0;REPORTING ADMINISTRATIF-FINANCIER-VENTES FEVRIER 2025.docx
